Modèle,Train,Test,CV
Naive Bayes,0.9883268482490273,0.7846153846153846,0.7853846153846155
Régression Logistique,0.9883268482490273,0.8,0.7885096153846154
SVM,0.9922178988326849,0.8,0.8010576923076922
Random Forest,1.0,0.6923076923076923,0.6548076923076923
